TF	Annotation	x11	x12	x21	x22	estimate	ci1	ci2	pval	padj	log2r
ATF6	non-caPeak	2038	182	48950	4046	0.925537005805328	0.792135712810054	1.08675477491097	0.328145802138662	0.578927428408872	-0.111637420270166
ATF7	caPeak	71	1545	2519	51111	0.932429521963368	0.721934054498783	1.18758301397072	0.632577291568268	0.826071521930327	-0.100933412046609
ATF7	caPeak-haPeak	53	1563	1584	52046	1.11416096013762	0.827033606558417	1.47256866554432	0.455892658607139	0.692416215809247	0.155957670395757
ATF7	non-caPeak	1492	124	49527	4103	0.996796772906203	0.827027997817358	1.21040828557294	0.962116187788621	1	-0.00462869719133172
BACH1	caPeak	203	4951	2374	47315	0.817202828141584	0.702458171792068	0.946475233466069	0.00627361321882387	0.0683756536911341	-0.291233897988545
BACH1	caPeak-haPeak	164	4990	1452	48237	1.0918693568766	0.920884745800735	1.28756325940971	0.298890304731443	0.551412656267782	0.1268002468607
BACH1	non-caPeak	4787	367	45863	3826	1.0881479899206	0.973189376188124	1.21938871900798	0.14437967165427	0.371262012825266	0.121874778835878
BACH2	caPeak	99	2475	2492	50165	0.805204771249328	0.649290377219853	0.988896575583864	0.0399131423158843	0.190849029830212	-0.312572373898167
BACH2	caPeak-haPeak	93	2481	1545	51112	1.24007575629061	0.991036876487339	1.53589503921522	0.0495667901170165	0.216548490603358	0.31042825761727
BACH2	non-caPeak	2382	192	48620	4037	1.03011227252063	0.885627746805508	1.20376656115596	0.732631583537697	0.891201159152706	0.0428015861284356
BARX2	caPeak	29	939	2564	51775	0.623632792059197	0.41446003301119	0.903960285071319	0.0110777564797172	0.0902063990489526	-0.681231304604464
BARX2	caPeak-haPeak	29	939	1611	52728	1.01083119061973	0.670960306051656	1.4672984310126	0.923758434815432	0.97887528653473	0.0155420864690794
BARX2	non-caPeak	910	58	50164	4175	1.3058372979628	0.998735034684998	1.73682747068232	0.0507728718783517	0.218865583630953	0.384975154124177
BATF3	caPeak	146	3859	2439	48526	0.75275152394041	0.630541282877887	0.892901536045831	0.000844759877871269	0.0204585483149915	-0.409754371208022
BATF3	caPeak-haPeak	140	3865	1480	49485	1.21112341187357	1.00792023027869	1.44593465873709	0.0367894746717902	0.184223985950468	0.276345881238988
BATF3	non-caPeak	3719	286	47046	3919	1.08322193809097	0.955815318049196	1.23130450260535	0.216864812325426	0.469697447182874	0.11532886268743
BCL6	caPeak	124	2600	2465	50033	0.96802805606386	0.798230487256584	1.16510499598621	0.780275289433007	0.916120186587814	-0.046879233588283
BCL6	caPeak-haPeak	94	2630	1544	50954	1.17950912608381	0.943916213845627	1.45903847812138	0.131756719668528	0.357873373026112	0.238186581023259
BCL6	non-caPeak	2506	218	48489	4009	0.950411404190406	0.824022667706256	1.10066201433859	0.482505954847403	0.706534921528237	-0.0733759474374105
BCL6B	caPeak	110	2662	2476	49958	0.833745884287895	0.679756727938038	1.01384721335311	0.0718658973133149	0.26012330223189	-0.262320360307799
BCL6B	caPeak-haPeak	97	2675	1543	50891	1.19597213509501	0.96035276760943	1.4748385166371	0.0958087580516503	0.309750644963102	0.258183776635886
BCL6B	non-caPeak	2565	207	48415	4019	1.028620872584	0.889025982768045	1.19527630623163	0.741472156472545	0.896225873340681	0.040711334000275
BHLHA15	caPeak	90	1590	2500	51103	1.15704490367762	0.921545466982305	1.43727129085912	0.196640780579449	0.449271903485122	0.210444854986409
